mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0719564437866211,0.034468926225224315,0.0037081241607666016,0.0012272544703715305,relu,10.0,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.1290322579985848,0.07655502384872141,0.04111745636946125,0.05302220136738744,34
0.08346562385559082,0.01000277595902935,0.002429628372192383,9.197552235253173e-05,relu,10.0,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.2633744854979424,0.28915662637950995,0.315789473563558,0.22360248437760888,0.20370370360493825,0.25912535468471154,0.04114410889508768,4
0.14662227630615235,0.03212642382990828,0.0030168533325195313,0.00024110122163118258,relu,10.0,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10714285710841835,0.20253164547526215,0.2714932125693577,0.12987012980941137,0.02072538859588177,0.14635264671166628,0.08533174095389985,18
0.1331254005432129,0.026216212236035565,0.0031003952026367188,0.00043573527190805,relu,10.0,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.12389380526744458,0.19130434775395083,0.2046511627101352,0.1783439489686397,0.0,0.13963865294003405,0.07502122901021364,26
0.06174535751342773,0.014980537099431762,0.0026534557342529296,0.00026464976056584646,relu,1.0,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.11361327171325683,0.022192523719518915,0.0030648231506347655,0.0002025626697882836,relu,1.0,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.25104602501762924,0.3577235771166634,0.33187772913430325,0.20125786154978043,0.2396313363035953,0.27630730582439433,0.05887675145963137,1
0.1933279514312744,0.03148819579197218,0.0038204193115234375,0.0005157321997973186,relu,1.0,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.20600858360898158,0.30222222210994565,0.15384615377514793,0.0410256410104931,0.16195385342656696,0.08872663059126774,15
0.16427440643310548,0.031056738145224673,0.0036927223205566405,0.00031390457044982214,relu,1.0,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.10666666662826667,0.20338983041712153,0.07766990286643413,0.20253164548886396,0.0,0.11805160908013726,0.07760923925712929,33
0.06833944320678711,0.011778238403537733,0.0030297756195068358,0.0002968868486743126,relu,0.1,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
0.10315432548522949,0.01571332321865306,0.0029144287109375,6.203612943936023e-05,relu,0.1,"(50,)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.005}",0.27755102030380674,0.323886639554492,0.2690582958577088,0.19875776388071445,0.24074074064197526,0.26199889204773946,0.04140808244759327,2
0.15969009399414064,0.012034374136170686,0.0035541534423828127,0.00039942455755233937,relu,0.1,"(50, 100, 50)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.001}",0.10666666662826667,0.20600858360898158,0.30222222210994565,0.15384615377514793,0.0612244897759267,0.16599362317965366,0.08343050799967902,13
0.17749509811401368,0.030818610651513253,0.0034953594207763673,0.00014427161922769135,relu,0.1,"(50, 100, 50)",0.005,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (50, 100, 50), 'MLP__learning_rate_init': 0.005}",0.10666666662826667,0.20338983041712153,0.09661835743760647,0.20125786154978043,0.0,0.12158654320655501,0.07572132760540527,32
0.06617732048034668,0.011627358661875914,0.0028734207153320312,0.0003226453366032127,relu,0.01,"(50,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate_init': 0.001}",0.0,0.0,0.0,0.05333333329493333,0.02040816324531445,0.014748299308049556,0.02084886522090242,35
