mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__max_depth,param_RF__max_features,param_RF__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005956029891967774,0.00041287585200822194,0.0038790225982666014,0.0011894186197535805,3,4,3,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 3}",0.0,0.0,0.0,0.11111111104888888,0.0,0.022222222209777775,0.04444444441955555,112
0.008906078338623048,0.00024839346029634294,0.0030967235565185548,0.0004450307837057173,3,4,5,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 5}",0.0,0.0,0.0,0.04624277453840756,0.0,0.009248554907681512,0.018497109815363025,116
0.015663862228393555,0.0004788411943287936,0.00312347412109375,6.610404376222142e-05,3,4,10,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 10}",0.020304568522868407,0.0,0.0,0.023391812848261005,0.01990049750748744,0.01271937577572337,0.010455329852789423,114
0.033179426193237306,0.003344243194949439,0.003696727752685547,0.00014105205840734213,3,4,25,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,118
0.05513849258422852,0.0019159489130544897,0.005919075012207032,0.0005035526055516337,3,4,50,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 50}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,118
0.1645209312438965,0.0006586948213133499,0.013020944595336915,0.0001761876455600578,3,4,150,"{'RF__max_depth': 3, 'RF__max_features': 4, 'RF__n_estimators': 150}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,118
0.004192447662353516,0.00013395573698835186,0.0018709659576416015,0.00018859380409932462,3,7,3,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 3}",0.07881773395685407,0.03999999998039999,0.07766990288434347,0.21390374322422717,0.058823529392541325,0.0938429818876732,0.06168847822125174,97
0.00704035758972168,0.0004388737709030054,0.001978302001953125,8.429391281337622e-05,3,7,5,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 5}",0.059701492513056606,0.0796019900254944,0.0961538461168639,0.17679558004383258,0.03940886698051396,0.09033235513595228,0.04723636553558081,100
0.012619543075561523,0.00016587398601705726,0.0025740623474121093,0.00048428217972719303,3,7,10,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 10}",0.020202020192021223,0.09950248753793223,0.019704433482977016,0.09195402295521204,0.07843137252979623,0.061958867339587755,0.03495610867786181,108
0.02967839241027832,0.0006847868771874277,0.0034781932830810548,1.675361774028679e-05,3,7,25,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 25}",0.0,0.020304568522868407,0.039215686255286424,0.04678362571375808,0.0,0.021260776098382582,0.01938427292817631,113
0.05618562698364258,0.0011619390797377286,0.005472373962402344,0.00023327877727997233,3,7,50,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 50}",0.0,0.0,0.0,0.04678362571375808,0.0,0.009356725142751616,0.01871345028550323,115
0.1712951183319092,0.0013039238854672863,0.013663291931152344,0.0003937568982654708,3,7,150,"{'RF__max_depth': 3, 'RF__max_features': 7, 'RF__n_estimators': 150}",0.0,0.0,0.0,0.02366863904737229,0.0,0.004733727809474458,0.009467455618948916,117
0.004761266708374024,0.00046768224939422334,0.001836681365966797,7.094154336269423e-05,3,15,3,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 3}",0.059113300459317134,0.11707317068973229,0.10958904101665935,0.12903225797710718,0.03960396038623664,0.09088234610581053,0.03501445588883374,99
0.007000780105590821,0.00029824209187297813,0.0020018100738525392,0.0002080148420215032,3,15,5,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 5}",0.07881773395685407,0.09852216745439103,0.07582938383684103,0.11049723750239612,0.09661835745524984,0.09205697604114642,0.012971202125399185,98
0.01333622932434082,0.0007065505753708182,0.0025302410125732423,0.00020097493241496377,3,15,10,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 10}",0.059701492513056606,0.1372549019231065,0.05741626790137587,0.04597701146095917,0.07804878046400951,0.07567969085250152,0.032459894661196934,104
0.031361865997314456,0.0010375613055453293,0.0036983489990234375,0.00039598973311713115,3,15,25,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 25}",0.03999999998039999,0.1372549019231065,0.038277511920514644,0.06936416182164454,0.03960396038623664,0.06490010720638047,0.03801004358238551,106
0.062442874908447264,0.001504004156150609,0.005539369583129883,0.0003767646181124775,3,15,50,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 50}",0.0594059405652387,0.15609756093363472,0.03864734296249621,0.04678362571375808,0.01990049750748744,0.06416699353652304,0.04772180541496908,107
0.18414320945739746,0.0016418426508768775,0.013528585433959961,0.0012408940799420191,3,15,150,"{'RF__max_depth': 3, 'RF__max_features': 15, 'RF__n_estimators': 150}",0.03980099500061879,0.11822660095192797,0.038834951428032796,0.09248554910488155,0.01990049750748744,0.06184971879858971,0.037128075212855376,109
0.004799842834472656,0.00017514008770689,0.0019340038299560547,0.00031233137435020166,3,20,3,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 3}",0.059701492513056606,0.16981132068494126,0.05660377353150586,0.17486338790289346,0.05797101446008074,0.10379019781849559,0.05599992348111373,94
0.007459306716918945,0.00028960333345448666,0.002176237106323242,0.00020649688455077691,3,20,5,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 5}",0.07920792076325849,0.1538461537917899,0.05687203786527705,0.1136363635929752,0.09708737861249882,0.10012997092515989,0.03282099714582096,95
0.013714838027954101,0.0003458519138349516,0.002537059783935547,0.00024810082494700146,3,20,10,"{'RF__max_depth': 3, 'RF__max_features': 20, 'RF__n_estimators': 10}",0.07881773395685407,0.2264150942698469,0.07619047614512471,0.09142857139017141,0.1142857142403628,0.11742751800047198,0.05613433348969164,90
